word,class_a,class_b
carssss,0.000008069657281655247,0.000008069657281655247
glcmzek,0.000008069657281655247,0.000008069657281655247
atltraffic,0.000008069657281655247,0.000008069657281655247
fpw,0.000008069657281655247,0.000008069657281655247
stering,0.000008069657281655247,0.000008069657281655247
tommatzzie,0.000008069657281655247,0.000008069657281655247
acting,0.000008069657281655247,0.000008069657281655247
followup,0.000008069657281655247,0.000008069657281655247
tear,0.000008069657281655247,0.000008069657281655247
uqarmcytbi,0.000008069657281655247,0.000008069657281655247
urbansustainabilty,0.000008069657281655247,0.000008069657281655247
nvlh,0.000008069657281655247,0.000008069657281655247
environment,0.00003227862912662099,0.00003227862912662099
crzy,0.000008069657281655247,0.000008069657281655247
becoming,0.00008876623009820772,0.00008876623009820772
chairs,0.000008069657281655247,0.000008069657281655247
havent,0.000008069657281655247,0.000008069657281655247
miblmqjvhw,0.000008069657281655247,0.000008069657281655247
planning,0.00013718417378813923,0.00013718417378813923
mkkku,0.000008069657281655247,0.000008069657281655247
sotired,0.000008069657281655247,0.000008069657281655247
kpcx,0.000008069657281655247,0.000008069657281655247
jame,0.000008069657281655247,0.000008069657281655247
pulls,0.000008069657281655247,0.000008069657281655247
hay,0.000008069657281655247,0.000008069657281655247
yuc,0.000008069657281655247,0.000008069657281655247
integrated,0.00003227862912662099,0.00003227862912662099
bs,0.000056487600971586734,0.000056487600971586734
mark,0.00006455725825324198,0.00006455725825324198
cuao,0.000008069657281655247,0.000008069657281655247
leaveusalone,0.000008069657281655247,0.000008069657281655247
insane,0.00004841794368993149,0.00004841794368993149
briansin,0.000008069657281655247,0.000008069657281655247
cyclist,0.000056487600971586734,0.000056487600971586734
mralancooper,0.000008069657281655247,0.000008069657281655247
ajfbsmwrvp,0.000008069657281655247,0.000008069657281655247
adhrfg,0.000008069657281655247,0.000008069657281655247
carpedanny,0.000008069657281655247,0.000008069657281655247
anildash,0.000008069657281655247,0.000008069657281655247
valets,0.000008069657281655247,0.000008069657281655247
fuzz,0.000008069657281655247,0.000008069657281655247
status,0.000024208971844965745,0.000024208971844965745
mcvqzn,0.000008069657281655247,0.000008069657281655247
wheeled,0.000008069657281655247,0.000008069657281655247
kcoolbroth,0.000008069657281655247,0.000008069657281655247
cb,0.000016139314563310495,0.000016139314563310495
